01-14-2020 INFO o.s.a.f.CglibAopProxy || [localhost-startStop-1] -doValidateClass-268- Final method [public final int io.shardingjdbc.core.jdbc.unsupported.AbstractUnsupportedOperationDataSource.getLoginTimeout() throws java.sql.SQLException] cannot get proxied via CGLIB: Calls to this method will NOT be routed to the target instance and might lead to NPEs against uninitialized fields in the proxy instance.
01-14-2020 WARN o.s.a.f.CglibAopProxy || [localhost-startStop-1] -doValidateClass-265- Unable to proxy interface-implementing method [public final void io.shardingjdbc.core.jdbc.unsupported.AbstractUnsupportedOperationDataSource.setLoginTimeout(int) throws java.sql.SQLException] because it is marked as final: Consider using interface-based JDK proxies instead!
01-14-2020 INFO o.s.a.f.CglibAopProxy || [localhost-startStop-1] -doValidateClass-268- Final method [public final void io.shardingjdbc.core.jdbc.unsupported.AbstractUnsupportedOperationDataSource.setLoginTimeout(int) throws java.sql.SQLException] cannot get proxied via CGLIB: Calls to this method will NOT be routed to the target instance and might lead to NPEs against uninitialized fields in the proxy instance.
01-14-2020 WARN o.s.a.f.CglibAopProxy || [localhost-startStop-1] -doValidateClass-265- Unable to proxy interface-implementing method [public final java.lang.Object io.shardingjdbc.core.jdbc.adapter.WrapperAdapter.unwrap(java.lang.Class) throws java.sql.SQLException] because it is marked as final: Consider using interface-based JDK proxies instead!
01-14-2020 INFO o.s.a.f.CglibAopProxy || [localhost-startStop-1] -doValidateClass-268- Final method [public final java.lang.Object io.shardingjdbc.core.jdbc.adapter.WrapperAdapter.unwrap(java.lang.Class) throws java.sql.SQLException] cannot get proxied via CGLIB: Calls to this method will NOT be routed to the target instance and might lead to NPEs against uninitialized fields in the proxy instance.
01-14-2020 WARN o.s.a.f.CglibAopProxy || [localhost-startStop-1] -doValidateClass-265- Unable to proxy interface-implementing method [public final boolean io.shardingjdbc.core.jdbc.adapter.WrapperAdapter.isWrapperFor(java.lang.Class) throws java.sql.SQLException] because it is marked as final: Consider using interface-based JDK proxies instead!
01-14-2020 INFO o.s.a.f.CglibAopProxy || [localhost-startStop-1] -doValidateClass-268- Final method [public final boolean io.shardingjdbc.core.jdbc.adapter.WrapperAdapter.isWrapperFor(java.lang.Class) throws java.sql.SQLException] cannot get proxied via CGLIB: Calls to this method will NOT be routed to the target instance and might lead to NPEs against uninitialized fields in the proxy instance.
01-14-2020 INFO o.s.a.f.CglibAopProxy || [localhost-startStop-1] -doValidateClass-268- Final method [public final void io.shardingjdbc.core.jdbc.adapter.WrapperAdapter.recordMethodInvocation(java.lang.Class,java.lang.String,java.lang.Class[],java.lang.Object[])] cannot get proxied via CGLIB: Calls to this method will NOT be routed to the target instance and might lead to NPEs against uninitialized fields in the proxy instance.
01-14-2020 INFO o.s.a.f.CglibAopProxy || [localhost-startStop-1] -doValidateClass-268- Final method [public final void io.shardingjdbc.core.jdbc.adapter.WrapperAdapter.replayMethodsInvocation(java.lang.Object)] cannot get proxied via CGLIB: Calls to this method will NOT be routed to the target instance and might lead to NPEs against uninitialized fields in the proxy instance.
01-14-2020 INFO o.s.c.a.AnnotationConfigApplicationContext || [localhost-startStop-1] -prepareRefresh-583- Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@33b14aa2: startup date [Tue Jan 14 22:22:00 CST 2020]; parent: org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@59ab8480
